title,artist,peakPos,rank
No One Can Love You More Than Me,Melissa Manchester,78,78
This Time,Bryan Adams,24,79
Don't Girls Get Lonely,Glenn Shorrock,69,96
Every Breath You Take,The Police,1,92
Guns For Hire,AC/DC,84,97
I Think You'll Remember Tonight,Axe,94,94
"Lady, Lady, Lady","Joe ""Bean"" Esposito",86,86
Maniac,Michael Sembello,1,89
Should I Love You,Cee Farrow,82,100
Don't Cry,Asia,10,64
Don't Forget To Dance,The Kinks,29,94
How Can I Refuse,Heart,44,99
Human Nature,Michael Jackson,7,87
Kiss The Bride,Elton John,25,96
Tell Her No,Juice Newton,27,97
The Monkey Time,The Tubes,68,86
Trouble In Paradise,Jarreau,63,100
Unconditional Love,Donna Summer,43,92
Bad Boys,Wham! U.K.,60,97
Cold Blooded,Rick James,40,93
Don't You Get So Mad,Jeffrey Osborne,25,76
Fight Fire With Fire,Kansas,58,98
Human Touch,Rick Springfield,18,91
I'll Tumble 4 Ya,Culture Club,9,94
Lady Love Me (One More Time),George Benson,30,72
Lawyers In Love,Jackson Browne,13,95
She Works Hard For The Money,Donna Summer,3,73
The Night,The Animals,48,100
You Know What To Do,Carly Simon,83,88
After The Fall,Journey,23,91
All I Need To Know,Bette Midler,77,86
All Time High,Rita Coolidge,36,100
Don't You Know How Much I Love You,Ronnie Milsap,58,98
High Time,Styx,48,92
Hot Girls In Love,Loverboy,11,66
I Don't Wanna Dance,Eddy Grant,53,77
Is There Something I Should Know,Duran Duran,4,97
Living On The Edge,Jim Capaldi,75,75
Someone Belonging To Someone,Bee Gees,49,68
What's She Got,Liquid Gold,86,99
Blame It On Love,Smokey Robinson & Barbara Mitchell,48,100
Do It Again/Billie Jean,Club House,75,97
Flashdance...What A Feeling,Irene Cara,1,74
Get It Right,Aretha Franklin,61,93
Hang On Now,Kajagoogoo,78,99
Never Gonna Let You Go,Sergio Mendes,4,79
Rock 'n' Roll Is King,Electric Light Orchestra,19,78
Rock Of Ages,Def Leppard,16,70
Sharp Dressed Man,ZZ Top,56,96
Ship To Shore,Chris de Burgh,71,98
Take Away,Big Ric,91,91
Words,F.R. David,62,84
All This Love,Debarge,17,97
Baby Jane,Rod Stewart,14,93
"Bad, Bad Billy",Snuff,88,88
Come Dancing,The Kinks,6,76
Pieces Of Ice,Diana Ross,31,96
Scarlet Fever,Kenny Rogers,94,99
The Salt In My Tears,Martin Briley,36,100
Too Shy,Kajagoogoo,5,98
West Coast Summer Nights,Tony Carey,64,94
Who's Behind The Door?,Zebra,61,95
Ewok Celebration,Meco,60,83
I'm Still Standing,Elton John,12,79
Radio Free Europe,R.E.M.,78,97
She's A Beauty,The Tubes,10,100
Shiny Shiny,Haysi Fantayzee,74,92
Slipping Away,Dave Edmunds,39,96
Stop In The Name Of Love,The Hollies,29,86
War Games,"Crosby, Stills & Nash",45,99
You Belong To Me,The Doobie Brothers,79,98
A Million Miles Away,The Plimsouls,82,98
Affair Of The Heart,Rick Springfield,9,100
Beat It,Michael Jackson,1,99
Do You Compute?,Donnie Iris,64,97
Don't Let It End,Styx,6,89
Family Man,Daryl Hall John Oates,6,88
Stand By,Roman Holliday,54,91
Til You And Your Lover Are Lovers Again,Engelbert Humperdinck,77,96
Time (Clock Of The Heart),Culture Club,2,73
Try Again,Champaign,23,93
White Wedding,Billy Idol,36,80
Wishing (If I Had A Photograph Of You),A Flock Of Seagulls,26,77
Don't Pay The Ferryman,Chris de Burgh,34,99
Faithfully,Journey,12,97
Johnny B. Goode,Peter Tosh,84,92
Roll Me Away,Bob Seger & The Silver Bullet Band,27,93
Space Age Whiz Kids,Joe Walsh,52,96
The Metro,Berlin,58,100
The Woman In You,Bee Gees,24,95
Boogie Down,Jarreau,77,99
Little Red Corvette,Prince,6,86
My Love,Lionel Richie,5,96
Overkill,Men At Work,3,93
Save The Overtime (For Me),Gladys Knight And The Pips,66,98
Shy Boy (Don't It Make You Feel Good),Bananarama,83,92
Solid Rock,Goanna,71,100
That's Love,Jim Capaldi,28,97
We Two,Little River Band,22,91
You Are In My System,Robert Palmer,78,95
Candy Girl,New Edition,46,91
Don't Make Me Do It,Patrick Simmons,75,94
Europa And The Pirate Twins,Thomas Dolby,67,97
Inside Love (so Personal),George Benson,43,98
Night Pulse,Double Image,92,96
She Blinded Me With Science,Thomas Dolby,5,92
Straight From The Heart,Bryan Adams,10,99
The Closer You Get,Alabama,38,100
Come On Eileen,Dexy's Midnight Runners,1,97
Easy For You To Say,Linda Ronstadt,54,100
Jeopardy,Greg Kihn Band,2,87
Looking For A Stranger,Pat Benatar,39,96
Love On Your Side,Thompson Twins,45,94
Love's Got A Line On You,Scandal Featuring Patty Smyth,59,95
Mornin',Jarreau,21,91
Rio,Duran Duran,14,98
The One Thing,INXS,30,89
Theme From Doctor Detroit,Devo,59,92
Gimme All Your Lovin,ZZ Top,37,94
He's A Pretender,High Inergy,82,93
Keep It Confidential,Nona Hendryx,91,100
New Year's Day,U2,53,96
Ricky,"""Weird Al"" Yankovic",63,97
The Celtic Soul Brothers,Dexys Midnight Runners,86,98
What You Do To Me,Carl Wilson,72,99
Even Now,Bob Seger & The Silver Bullet Band,12,48
Fools Game,Michael Bolton,82,82
Hungry Like The Wolf,Duran Duran,3,94
I Like It,Debarge,31,97
One On One,Daryl Hall John Oates,7,89
Separate Ways (Worlds Apart),Journey,8,69
Sign Of The Times,The Belle Stars,75,100
Smiling Islands,Robbie Patton,52,96
Swingin',John Anderson,43,93
Twilight Zone,Golden Earring,10,99
We've Got Tonight,Kenny Rogers And Sheena Easton,6,92
Whatever Happened To Old Fashioned Love,B.J. Thomas,93,98
Back On The Chain Gang,Pretenders,5,91
Do You Really Want To Hurt Me,Culture Club,2,73
I Eat Cannibals,Total Coelo,66,92
I Know There's Something Going On,Frida,13,94
Make Love Stay,Dan Fogelberg,29,100
Minimum Love,Mac McAnally,41,99
Take The Short Way Home,Dionne Warwick,41,98
Tonight,The Whispers,84,97
"Where Everybody Knows Your Name (The Theme From ""Cheers"")",Gary Portnoy,83,83
Whirly Girl,Oxo,28,87
Wind Him Up,Saga,64,96
Do You Wanna Hold Me?,Bow Wow Wow,77,99
I've Got A Rock N' Roll Heart,Eric Clapton,18,92
Mexican Radio,Wall Of Voodoo,58,94
Never Give Up,Sammy Hagar,46,91
The Devil Made Me Do It,Golden Earring,79,100
You Are,Lionel Richie,4,50
Breaking Us In Two,Joe Jackson,18,91
Desperate But Not Serious,Adam Ant,66,99
Escalator Of Life,Robert Hazard,58,94
Every Home Should Have One,Patti Austin,62,100
Goodnight Saigon,Billy Joel,56,98
Love On My Mind Tonight,The Temptations,88,96
Outstanding,The Gap Band,51,93
Stray Cat Strut,Stray Cats,3,88
The Fanatic,Felony,42,97
Wind Beneath My Wings,Lou Rawls,65,92
Allentown,Billy Joel,17,98
"Baby, Come To Me",Patti Austin With James Ingram,1,90
Count On Me,Gerard McMahon,85,100
Down Under,Men At Work,1,89
I Don't Care Anymore,Phil Collins,39,92
If You Wanna Get Back Your Lady,The Pointer Sisters,67,94
Should I Stay Or Should I Go,The Clash,45,99
You And I,Eddie Rabbitt With Crystal Gayle,7,95
You Are In My System,The System,64,96
American Made,The Oak Ridge Boys,72,96
Eenie Meenie,Jeffrey Osborne,76,97
My Kind Of Lady,Supertramp Featuring Rick Davies,31,99
Nice Girls,Melissa Manchester,42,92
Only You,Yaz,67,94
Sex (I'm A...),Berlin,62,93
Walking In L.a.,Missing Persons,70,95
Your Love Is Driving Me Crazy,Sammy Hagar,13,98
Betcha She Don't Love You,Evelyn King,49,96
Don't Tell Me You Love Me,Night Ranger,40,95
I Can't Stand Still,Don Henley,48,97
Keep It Tight,Single Bullet Theory,78,94
Love Me Again,The John Hall Band,64,100
Tied Up,Olivia Newton-John,38,98
What Love Is,Marty Balin,63,99
You Can't Hurry Love,Phil Collins,10,93
Africa,Toto,1,93
Heart To Heart,Kenny Loggins,15,92
Maneater,Daryl Hall John Oates,1,99
Please Mr. Postman,Gentle Persuasion,82,96
Sexual Healing,Marvin Gaye,3,98
Shoppin' From A To Z,Toni Basil,77,95
The Clapping Song,Pia Zadora,36,100
The Other Guy,Little River Band,11,94
After I Cry Tonight,Lanier & Co.,48,95
All Those Lies,Glenn Frey,41,99
I Knew You When,Linda Ronstadt,37,94
Love In Store,Fleetwood Mac,22,96
The Look Of Love (Part One),ABC,18,100
The One That Really Matters,Survivor,74,98
What You're Missing,Chicago,81,97
Bad Boy,Ray Parker Jr.,35,95
Forever,Little Steven,63,97
Got To Be There,Chaka Khan,67,98
I Do,The J. Geils Band,24,93
Memory,Barry Manilow,39,96
Right Before Your Eyes,America,45,100
Shock The Monkey,Peter Gabriel,29,85
Steppin' Out,Joe Jackson,6,94
Still Taking Chances,Michael Murphey,76,99
All Touch,Rough Trade,58,58
Are You Getting Enough Happiness,Hot Chocolate,65,95
Are You Serious,Tyrone Davis,57,57
Does It Make You Remember,Kim Carnes,36,94
Eminence Front,The Who,68,97
Funny How Time Slips Away,The Spinners,67,96
Industrial Disease,Dire Straits,75,98
Psychobabble,The Alan Parsons Project,57,100
Shadows Of The Night,Pat Benatar,13,99
Be My Lady,Jefferson Starship,28,95
Everybody Wants You,Billy Squier,32,99
Goodbye To You,Scandal Featuring Patty Smyth,65,98
Heart Attack,Olivia Newton-John,3,100
I Gotta Try,Michael McDonald,44,74
It's Raining Again,Supertramp Featuring Roger Hodgson,11,83
Missing You,Dan Fogelberg,23,93
Muscles,Diana Ross,10,92
On The Wings Of Love,Jeffrey Osborne,29,96
Take The Time,Michael Stanley Band,81,97
Up Where We Belong,Joe Cocker And Jennifer Warnes,1,91
Young Love,Janet Jackson,64,94
"(you're So Square) Baby, I Don't Care",Joni Mitchell,47,96
Bad Boy/Having A Party,Luther Vandross,55,94
"Beg, Borrow Or Steal",Hughes/Thrall,79,79
Cross My Heart,Lee Ritenour,69,100
Heartlight,Neil Diamond,5,99
Nowhere To Run,Santana,66,98
Pressure,Billy Joel,20,93
Whatcha Gonna Do,Chilliwack,41,92
A Love Song,Kenny Rogers,47,94
Eye In The Sky,The Alan Parsons Project,3,98
Get Closer,Linda Ronstadt,29,99
Jack & Diane,John Cougar,1,96
Stand Or Fall,The Fixx,76,91
Wake Up My Love,George Harrison,53,100
You've Got Another Thing Comin',Judas Priest,67,97
I Get Excited,Rick Springfield,32,98
I Need You,Paul Carrack,37,100
Sweet Time,REO Speedwagon,26,88
Talk Talk,Talk Talk,75,99
The Message,Grandmaster Flash,62,94
Tough World,Donnie Iris,57,85
Attack Of The Name Game,Stacy Lattisaw,70,99
Close Enough To Perfect,Alabama,65,94
Eye Of The Tiger,Survivor,1,93
Get Up And Go,Go-Go's,50,92
Right Here And Now,Bill Medley,58,96
She's Tight,Cheap Trick,65,98
So Much In Love,Timothy B. Schmit,59,97
The Only Way Out,Cliff Richard,64,90
Tug Of War,Paul McCartney,53,95
Abracadabra,The Steve Miller Band,1,99
Don't Fight It,Kenny Loggins with Steve Perry,17,97
Hard To Say I'm Sorry,Chicago,1,100
Hold On,Santana,15,95
Young Love,Air Supply,38,98
Do You Wanna Touch Me (Oh Yeah),Joan Jett & the Blackhearts,20,93
Hurts So Good,John Cougar,2,91
I Will Always Love You,Dolly Parton,53,96
Johnny Can't Read,Don Henley,42,98
Let Me Tickle Your Fancy,Jermaine Jackson,18,99
Make Believe,Toto,30,94
Take The L.,The Motels,52,100
You Keep Runnin' Away,38 Special,38,95
777-9311,The Time,88,93
Electricland,Bad Company,74,74
Holdin' On,Tane Cain,37,94
Let It Be Me,Willie Nelson,40,89
Love Is In Control (Finger On The Trigger),Donna Summer,10,95
Love Will Turn You Around,Kenny Rogers,13,100
Only Time Will Tell,Asia,17,90
Take It Away,Paul McCartney,10,98
Think I'm In Love,Eddie Money,16,92
All Of My Love,Bobby Caldwell,77,92
Burning Down One Side,Robert Plant,64,95
Machinery,Sheena Easton,57,93
American Music,The Pointer Sisters,16,93
Keep The Fire Burnin',REO Speedwagon,7,94
Let It Whip,Dazz Band,5,99
Only The Lonely,The Motels,9,100
Out Of Work,Gary U.S. Bonds,21,97
Planet Rock,Afrika Bambaataa & The Soul Sonic Force,48,96
Right Away,Kansas,73,88
She Looks A Lot Like You,Clocks,67,67
Themes From E.T. (The Extra-Terrestrial),Walter Murphy,47,95
Your Daddy Don't Know,Toronto,77,91
How Can I Live Without Her,Christopher Atkins,71,97
In The Driver's Seat,John Schneider,72,98
Kids In America,Kim Wilde,25,93
Love Or Let Me Be Lonely,Paul Davis,40,91
Rosanna,Toto,2,94
Sara,Bill Champlin,61,96
She Got The Goldmine (i Got The Shaft),Jerry Reed,57,100
"Someday, Someway",Marshall Crenshaw,36,95
Do I Do,Stevie Wonder,13,98
I Found Somebody,Glenn Frey,31,100
Love's Been A Little Bit Hard On Me,Juice Newton,7,97
Now Or Never,Axe,64,95
Personally,Karla Bonoff,19,93
Route 101,Herb Alpert,37,94
Seasons Of The Heart,John Denver,78,99
Your Imagination,Daryl Hall John Oates,33,92
Caught Up In You,38 Special,10,94
Early In The Morning,The Gap Band,24,96
Enough Is Enough,April Wine,50,93
Foolin' Yourself,Aldo Nova,65,98
Going To A Go-Go,The Rolling Stones,25,99
Hooked On Swing,Larry Elgart And His Manhattan Swing Orchestra,31,100
Still They Ride,Journey,19,95
What Kind Of Fool Am I,Rick Springfield,21,92
Why,Carly Simon,74,97
Any Day Now,Ronnie Milsap,14,92
Ebony And Ivory,Paul McCartney And Stevie Wonder,1,99
Forget Me Nots,Patrice Rushen,23,97
Heat Of The Moment,Asia,4,98
If You Want My Love,Cheap Trick,45,95
Loveline,Dr. Hook,60,100
Mega Force,707,62,94
Nice Girls,Eye To Eye,37,91
Play The Game Tonight,Kansas,17,96
Take Me Down,Alabama,18,93
Younger Days,Joe Fagin,80,80
Angel In Blue,The J. Geils Band,40,97
Be Mine Tonight,Neil Diamond,35,93
Body Language,Queen,11,99
Cutie Pie,One Way,61,100
Dancing In The Street,Van Halen,38,96
Island Of Lost Souls,Blondie,37,95
Landslide,Olivia Newton-John,52,98
No One Like You,Scorpions,65,94
867-5309/jenny,Tommy Tutone,4,96
After The Glitter Fades,Stevie Nicks,32,93
Dance Wit' Me - Part 1,Rick James,64,91
Don't Talk To Strangers,Rick Springfield,2,97
Every Love Song,Greg Kihn Band,82,82
Hooked On Big Bands,The Frank Barber Orch.,61,99
Hope You Love Me Like You Say You Do,Huey Lewis & The News,36,100
Into My Love,Greg Guidry,92,92
It's Gonna Take A Miracle,Deniece Williams,10,95
Making Love,Roberta Flack,13,98
Outlaw,War,94,94
To Dream The Dream,Frankie Miller,62,79
Happy Hour,Deodato,70,100
I'll Find My Way Home,Jon & Vangelis,51,97
I've Never Been To Me,Charlene,3,93
Man On Your Mind,Little River Band,14,96
Right Kind Of Love,Quarterflash,56,99
Too Good To Turn Back Now,Rick Bowles,77,77
What Do All The People Know,The Monroes,59,68
When It's Over,Loverboy,26,95
Back To School Again,Four Tops,71,98
How Can You Love Me,Ambrosia,86,94
I Predict,Sparks,60,95
Murphy's Law,Cheri,39,92
My Girl,Donnie Iris,25,100
Route 66,The Manhattan Transfer,78,97
Standing On The Top-Part 1,The Temptations Featuring Rick James,66,93
The Last Safe Place On Earth,Le Roux,77,96
The Very Best In You,Change,84,99
Cat People (Putting Out Fire),David Bowie,67,99
Chariots Of Fire - Titles,Vangelis,1,97
Get Down On It,Kool & The Gang,10,96
How Long,Rod Stewart,49,98
I Love Rock 'N Roll,Joan Jett & the Blackhearts,1,100
Do You Believe In Love,Huey Lewis & The News,7,98
Goin' Down,Greg Guidry,17,91
Hang Fire,The Rolling Stones,20,93
Just To Satisfy You,Waylon & Willie,52,94
Key Largo,Bertie Higgins,8,99
Man On The Corner,Genesis,40,100
One To One,Carole King,45,90
Secret Journey,The Police,46,92
Stars on 45 III,Stars On,28,96
Theme From Magnum P.i.,Mike Post,25,95
Turn On Your Radar,Prism,64,97
(oh) Pretty Woman,Van Halen,12,97
Baby Step Back,Gordon Lightfoot,50,93
Edge Of Seventeen (Just Like The White Winged Dove),Stevie Nicks,11,96
Finally,T.G. Sheppard,58,95
Fly Away,Stevie Woods,84,84
I'm In Love Again,Pia Zadora,45,85
Let's Hang On,Barry Manilow,32,98
Put Away Your Love,Alessi,71,71
Since You're Gone,The Cars,41,99
The Gigolo,O'Bryan,57,100
Work That Body,Diana Ross,44,92
Baby Makes Her Blue Jeans Talk,Dr. Hook,25,95
Beechwood 4-5789,Carpenters,74,74
Fool For Your Love,Jimmy Hall,77,77
Genius Of Love,Tom Tom Club,31,96
I'll Try Something New,A Taste Of Honey,41,98
If I Had My Wish Tonight,David Lasley,36,81
Make A Move On Me,Olivia Newton-John,5,94
Open Arms,Journey,2,100
Pac-Man Fever,Buckner & Garcia,9,97
Teach Me Tonight,Al Jarreau,70,93
That Girl,Stevie Wonder,4,99
Apache,Sugarhill Gang,53,95
Centerfold,The J. Geils Band,1,99
Don't Stop Me Baby (I'm On Fire),The Boys Band,61,96
Hollywood,Shooting Star,70,97
Loving You,Chris Rea,88,98
On A Carousel,Glass Moon,50,94
Pop Goes The Movies Part I,Meco,35,87
Sweet Dreams,Air Supply,5,86
Tonight I'm Yours (Don't Hurt Me),Rod Stewart,20,100
Bobbie Sue,The Oak Ridge Boys,12,93
Never Give Up On A Good Thing,George Benson,52,98
On The Way To The Sky,Neil Diamond,27,99
Over The Line,Eddie Schwartz,91,91
Shake It Up,The Cars,4,100
Shine On,George Duke,41,97
Sleepwalk,Larry Carlton,74,96
Abacab,Genesis,26,98
Another Sleepless Night,Anne Murray,44,55
Call Me,Skyy,26,77
Don't Let Me In,Sneaker,63,63
Harden My Heart,Quarterflash,3,76
I Believe,Chilliwack,33,94
Let The Feeling Flow,Peabo Bryson,42,99
Memories Of Days Gone By,Fred Parris & The Five Satins,71,71
Physical,Olivia Newton-John,1,95
Somewhere Down The Road,Barry Manilow,21,96
The Sweetest Thing (I've Ever Known),Juice Newton,7,97
Working For The Weekend,Loverboy,29,100
You Could Have Been With Me,Sheena Easton,15,79
All Our Tomorrows,Eddie Schwartz,28,74
If Looks Could Kill,Player,48,85
Lonely Nights,Bryan Adams,84,84
Love Is Alright Tonite,Rick Springfield,20,94
Love Is Like A Rock,Donnie Iris,37,98
Only One You,T.G. Sheppard,68,88
Our Lips Are Sealed,Go-Go's,20,91
Running,Chubby Checker,91,100
Sad Girl,GQ,93,93
The Longer You Wait,Gino Vannelli,89,99
Turn Your Love Around,George Benson,5,76
"You're My Latest, My Greatest Inspiration",Teddy Pendergrass,43,97
Cool (Part 1),The Time,90,98
Cool Night,Paul Davis,11,99
Hooked On Classics,Royal Philharmonic Orchestra,10,94
Let's Get It Up,AC/DC,44,71
Let's Groove,"Earth, Wind & Fire",3,97
Natural Love,Petula Clark,66,84
Never Thought I'd Fall In Love,The Spinners,95,95
Waiting For A Girl Like You,Foreigner,2,92
Waiting On A Friend,The Rolling Stones,13,100
Be Mine (Tonight),"Grover Washington, Jr.",92,92
Come Go With Me,The Beach Boys,18,97
Comin' In And Out Of Your Life,Barbra Streisand,11,95
Leather And Lace,Stevie Nicks With Don Henley,6,93
Perhaps Love,Placido Domingo & John Denver,59,98
Sea Of Love,Del Shannon,33,94
Trouble,Lindsey Buckingham,9,96
Voice On The Radio,Conductor,63,86
Why Do Fools Fall In Love,Diana Ross,7,99
Opposites Do Attract,All Sports Band,78,78
She's Got A Way,Billy Joel,23,100
Someone Could Lose A Heart Tonight,Eddie Rabbitt,15,98
Start It All Over,McGuffey Lane,97,97
Steppin' Out,Kool & The Gang,89,89
Young Turks,Rod Stewart,5,99
Don't Stop Believin',Journey,9,100
I Wouldn't Have Missed It For The World,Ronnie Milsap,20,92
Keeping Our Love Alive,Henry Paul Band,50,95
Power Play,Molly Hatchet,96,96
Tonight Tonight,Bill Champlin,55,99
Under Pressure,Queen & David Bowie,29,97
Yesterday's Songs,Neil Diamond,11,94
Castles In The Air,Don McLean,36,93
Every Little Thing She Does Is Magic,The Police,3,89
Falling In Love,Balance,58,100
Heart Like A Wheel,The Steve Miller Band,24,99
If I Were You,Lulu,44,92
Little Darlin',Sheila,49,70
"My Girl (Gone, Gone, Gone)",Chilliwack,22,91
My Kinda Lover,Billy Squier,45,90
Private Eyes,Daryl Hall John Oates,1,97
Start Me Up,The Rolling Stones,2,98
Steal The Night,Stevie Woods,25,87
Arthur's Theme (Best That You Can Do),Christopher Cross,1,97
Can't Hold Back (Your Loving),Kano,89,100
Closer To The Heart,Rush,69,99
Let Me Love You Once,Greg Lake,48,92
No Reply At All,Genesis,29,98
Southern Pacific,Neil Young/Crazy Horse,70,95
The Old Songs,Barry Manilow,15,96
Those Good Old Dreams,Carpenters,63,93
Wkrp In Cincinnati,Steve Carlisle,65,94
Better Things,The Kinks,92,92
Blaze Of Glory,Kenny Rogers,66,99
I've Done Everything For You,Rick Springfield,8,98
Just Once,Quincy Jones Featuring James Ingram,17,94
Never Too Much,Luther Vandross,33,96
Poor Man's Son,Survivor,33,95
Super Freak (Part I),Rick James,16,100
The Theme From Hill Street Blues,Mike Post featuring Larry Carlton,10,93
Tryin' To Live My Life Without You,Bob Seger,5,91
Wrack My Brain,Ringo Starr,38,97
I Heard It Through The Grapevine (Part 1),Roger,79,98
I'm Just Too Shy,Jermaine Jackson,60,97
Say Goodbye To Hollywood,Billy Joel,17,95
Step By Step,Eddie Rabbitt,5,94
Talking Out Of Turn,The Moody Blues,65,100
Walking Into Sunshine,Central Line,84,99
Hold On Tight,Electric Light Orchestra,10,88
I Could Never Miss You (More Than I Do),Lulu,18,97
I Surrender,Arlan Day,71,95
In The Dark,Billy Squier,35,93
La La Means I Love You,Tierra,72,96
Mistaken Identity,Kim Carnes,60,89
"Pay The Devil (Ooo, Baby, Ooo)",The Knack,67,92
Queen Of Hearts,Juice Newton,2,99
The Voice,The Moody Blues,15,100
Destroyer,The Kinks,85,97
It's All I Can Do,Anne Murray,53,99
One More Night,Streek,47,100
The Beach Boys Medley,The Beach Boys,12,96
Working In The Coal Mine,Devo,43,98
You Saved My Soul,Burton Cummings,37,95
A Lucky Guy,Rickie Lee Jones,64,99
Burnin' For You,Blue Oyster Cult,40,96
He's A Liar,Bee Gees,30,97
Heavy Metal (Takin' A Ride),Don Felder,43,100
Lady (You Bring Me Up),Commodores,8,98
Slip Away,Pablo Cruise,75,94
Snake Eyes,The Alan Parsons Project,67,93
The Jam Was Moving,Debbie Harry,82,95
(Want You) Back In My Life Again,Carpenters,72,93
Breaking Away,Balance,22,94
Feels So Right,Alabama,20,100
In Your Letter,REO Speedwagon,20,97
Jessie's Girl,Rick Springfield,1,87
Love All The Hurt Away,Aretha Franklin And George Benson,46,95
"Theme From ""Greatest American Hero"" (Believe It or Not)",Joey Scarbury,2,96
Wired For Sound,Cliff Richard,71,99
Back To The 60's,Tight Fit,89,100
Cool Love,Pablo Cruise,13,94
Draw Of The Cards,Kim Carnes,28,87
Fire And Ice,Pat Benatar,17,92
Fire In The Sky,The Dirt Band,76,98
I'm In Love,Evelyn King,40,95
Leila,ZZ Top,77,97
Really Wanna Know You,Gary Wright,16,96
Some Days Are Diamonds (Some Days Are Stone),John Denver,36,91
Still,John Schneider,69,69
The Breakup Song (They Don't Write 'Em),Greg Kihn Band,15,93
Aiming At Your Heart,The Temptations,67,95
Backfired,Debbie Harry,43,92
Chloe,Elton John,34,98
Let's Put The Fun Back In Rock N Roll,Freddy Cannon & The Belmonts,81,99
Silly,Deniece Williams,53,93
Square Biz,Teena Marie,50,94
Straight From The Heart,The Allman Brothers Band,39,97
That Old Song,Ray Parker Jr. & Raydio,21,96
You Could Take My Heart Away,Silver Condor,32,100
Dedicated To The One I Love,Bernadette Peters,65,96
Falling In Love Again,Michael Stanley Band,64,93
Let's Dance (Make Your Body Move),West Street Mob,88,88
Nicole,Point Blank,39,97
The Stroke,Billy Squier,17,95
The Sun Ain't Gonna Shine Anymore,Nielsen/Pearson,56,94
You Don't Know Me,Mickey Gilley,55,99
You're My Girl,Franke & The Knockouts,27,100
Bette Davis Eyes,Kim Carnes,1,99
Double Dutch Bus,Frankie Smith,30,95
Everlasting Love,Rex Smith/Rachel Sweet,32,86
In The Air Tonight,Phil Collins,19,91
Not Fade Away,Eric Hine,73,88
Shake It Up Tonight,Cheryl Lynn,70,93
Stranger,Jefferson Starship,48,98
The One That You Love,Air Supply,1,94
The Sensitive Kind,Santana,56,97
Time,The Alan Parsons Project,15,96
Touch Me When We're Dancing,Carpenters,16,92
You Make My Dreams,Daryl Hall John Oates,5,100
Give It To Me Baby,Rick James,40,98
Medley,Stars On 45,1,100
Nothing Ever Goes As Planned,Styx,54,99
Tom Sawyer,Rush,44,97
I Love You,Climax Blues Band,12,95
Jolí© Blon,Gary U.S. Bonds,65,97
Medley II,Stars On 45,67,98
This Little Girl,Gary U.S. Bonds,11,90
You're Mine Tonight,Pure Prairie League,68,99
America,Neil Diamond,8,93
Hold Tight,Change,89,89
It's Just The Sun,Don McLean,83,83
Just Like Paradise,Larry John McNally,86,86
Pay You Back With Interest,Gary O',70,98
Secrets,Mac Davis,76,99
Sukiyaki,A Taste Of Honey,3,100
It Hurts To Be In Love,Dan Hartman,72,100
Jones Vs. Jones,Kool & The Gang,39,95
Just The Two Of Us,"Grover Washington, Jr. (With Bill Withers)",2,98
Some Changes Are For Good,Dionne Warwick,65,99
The Waiting,Tom Petty And The Heartbreakers,19,96
Too Much Time On My Hands,Styx,9,97
American Memories,Shamus M'Cool,80,80
Angel Of The Morning,Juice Newton,4,88
Don't Let Go The Coat,The Who,84,92
How 'bout Us,Champaign,12,99
Promises,Barbra Streisand,48,91
Ready For Love,Silverado,92,94
Rich Man,Terri Gibbs,89,93
Sign Of The Gypsy Queen,April Wine,57,100
"Someday, Someway",Robert Gordon,76,76
Still Right Here In My Heart,Pure Prairie League,28,69
Walk Right Now,The Jacksons,73,89
Watching The Wheels,John Lennon,10,98
What She Does To Me (The Diana Song),The Producers,61,96
Ai No Corrida (I-No-Ko-ree-da),Quincy Jones,28,95
Almost Saturday Night,Dave Edmunds,54,94
Find Your Way Back,Jefferson Starship,29,99
Kiss On My List,Daryl Hall John Oates,1,98
Paradise,Change,80,97
Say You'll Be Mine,Christopher Cross,20,96
You Better You Bet,The Who,18,100
Ain't Even Done With The Night,John Cougar,17,91
Blessed Are The Believers,Anne Murray,34,96
Hold On Loosely,38 Special,27,94
I Can't Stand It,Eric Clapton And His Band,10,92
Just So Lonely,Get Wet,39,97
Love You Like I Never Loved Before,John O'Banion,24,93
"Mercy, Mercy, Mercy",Phoebe Snow,52,99
Rain In May,Max Werner,74,100
You're So Easy To Love,Tommy James,58,98
Come To Me,Aretha Franklin,84,94
Her Town Too,James Taylor & J.D. Souther,11,97
I Loved 'em Every One,T.G. Sheppard,37,93
I've Been Waiting For You All Of My Life,Paul Anka,48,98
Make That Move,Shalamar,60,96
Rapture,Blondie,1,100
Somebody's Knockin',Terri Gibbs,13,91
Super Trouper,ABBA,45,95
Wasn't That A Party,The Rovers,37,99
You Like Me Don't You,Jermaine Jackson,50,92
Can You Feel It,The Jacksons,77,99
Hurry Up And Wait,The Isley Brothers,58,98
One Day In Your Life,Michael Jackson,55,97
The Best Of Times,Styx,3,100
Woman,John Lennon,2,96
9 To 5,Dolly Parton,1,100
Crying,Don McLean,5,91
Don't Stop The Music,Yarbrough & Peoples,19,95
It's A Love Thing,The Whispers,28,96
Just Between You And Me,April Wine,21,92
Lately,Stevie Wonder,64,93
Mister Sandman,Emmylou Harris,37,98
The Party's Over (Hopelessly In Love),Journey,34,99
Time Out Of Mind,Steely Dan,22,94
Turn Me Loose,Loverboy,35,97
Celebration,Kool & The Gang,1,92
Hello Again,Neil Diamond,6,94
I Don't Need You,Rupert Holmes,56,98
